wallet_address,total_estimated_airdrop,current_points,initial_airdrop_amount
AQL8RqGeToV5FWJpXZGPfkKk8V4PtDjyDrboEPTfWpCj,928720.6872533086,100,0
AS6yB1sxDsaBEqwSfmjtYncT37bL7UeKh87aVUsuWaTo,11746479.432389133,805,4270277.9
ASySQaxiGpWbqMMzWiiQSPtopeWURomqf7xcp2b1efDU,1903877.4088692826,205,0
AUd5XEsCj5phtjz1XhmPPRB5gCbx1ow2wtLb8kCFB3Wc,1903877.4088692826,205,0
AVnyJLqyiA5KrvXTLoXmvq5sVHn3Z7PVfUh1ZKeQKc5N,1490963.3077566458,205,0
AZiVALv1VG4oEhX7Xyh4h9itnjQakZnT6kQA6gktcAsc,1903877.4088692826,205,0
AgFv61kSjHvFUGJ9KM2CZqoKGz3pus1cmBNoppeus2aR,0,100,0
AgYaTx9GQ6Afyzbucn9CKjxNiHVh8VSmRyf2vaSEzhCa,1936446.4620170787,305,0
AhjA5Lgx471nSgtbbuTts9htx9p8dSop6zr2kae4xJvN,928720.6872533086,100,0
AnY7kQsUaz256D2SpuK7tSM77dpEhtd54qvMi1PZcHc6,106311913.79392613,4155,80884295.3
AswTVe9Ztpuzg9ri2fwr6LbXC7GM4NLZ55XkZxZi91PR,928720.6872533086,100,0
AtkQKouqUsWASB8x3nfTVdGqiBNk925nDZfaEtrJzPgz,1903877.4088692826,205,0
AvGMCKnf8cBbVTcjAD1tuk2vsvCVG4dPXXH8mpmAEYFh,1857441.3745066172,200,0
Aw7outc1RvBGktXJJjgbKbizRhPFeXMkYsHw6D1XTJu6,2268298.1374396984,355,0
AwgVoyFwAwB8vH4KnsRCGdfuaCoVHmmrT7okuLJv38dT,13627765.708869284,205,11723888.3
B1BuP6JiZpQHJh5DkstACm6n9r7XegstuxJtFFkdPrqg,2341801.718133271,250,20000
B5SxJ6VwfeQN4U8U8jyKikoAvRgc2PQGpavL6w9hsCp1,1903877.4088692826,205,0
B6Enm1JEWS4nx6EZT7Jm2ougstDKUtc8Ym9t9h2qTWKF,0,0,0
B74xuM7MSszQZ3VKuqeWApoDhrPTD7J56mVEukSgwheU,1903877.4088692826,205,0
B8z9QMDD3abmYCa2M1gLUGCGj533ME4SPNd3bion4atk,1857441.3745066172,200,0
B9ufzCXYfWRPdxRztt8QEJGZpiRWG9dJZtNBtzxbUqFq,0,100,0
BAuUSLNh9CiDoJeyuBQcrgP3QjLdi7LQasnLR2yN6rEk,1903877.4088692826,205,0
BBZEnXskqQgQhV5NSCpEcJtLfRyyAsGZfiH4EGAVbXZe,1903877.4088692826,205,0
BCYZvRBUhfUhL356b5WATcqUGatTeE9f2PK52h2KLPgK,2832598.0961225913,305,0
BCg7jzJS2uXBXZDZrsNGr8JE6818sgd5Y4KKKPL28uR9,1857441.3745066172,200,0
BEx9hMHnKAqAUEBzUwh9mznBhB3KZcHMe4i3F9eYqVx6,7701512.687551779,1255,0
BFBhDa6sKYD3rKwCokzAL5DAcm1nesXz4GAUVy2ENQCr,1160900.8590666356,125,0
BFMDqovNrHQsifP4kK1yjHCdNkXpjrwwAVNoN1McsTsL,1857441.3745066172,200,0
BGjd3Kuugr8T157PQuEcqbqyeXZn7ADoJUWHR8TnDMLk,0,100,0
BHXRs6oTRkHzLMxyEmkBPdPH4cbvADCf3BqJX5o6rB1m,1903877.4088692826,205,0
BPyBPDZzXs6dJnkhB7TSLbJbwE1KefipiJMEpWR6ufwZ,928720.6872533086,100,0
BT8BWuvwsPSRGZbyp3xfrEDUJ9XtShof3rvbSo6w9UP9,0,100,0
BYFf8PnHkfh2kJMcZ18P7bcxQ4pxcfysZNHj5C6XZSMH,1857441.3745066172,200,0
BcGa6ivGM6dYU7evJRUBt88yVMPH8dUZ17dUpCFU97MB,1903877.4088692826,205,0
BhEEvtHUv45yPMpKayrs67FPhDXT9cGmserXozcFHVAk,1857441.3745066172,200,0
BkhcFULEB6bBYqmXDn7zEb1AUdK8AAnL3uJHEiGWXvdT,3579570.1370559554,180,1907872.9
